Name,URL,Price,Ratings,# of Reviews
"Roadmaster 26"" Men's Granite Peak Men's Bike (Navy)",https://www.amazon.com/Roadmaster-Mens-Granite-Peak-Bike/dp/B07595ZKJ7/ref=sr_1_5?ie=UTF8&qid=1547823452&sr=8-5&keywords=Bike,10472,4.1,19
Bikes & Babes This Is How We Do,https://www.amazon.com/Bikes-Babes-This-How-We/dp/B00TCY6TKK/ref=sr_1_6?ie=UTF8&qid=1547823452&sr=8-6&keywords=Bike,,1.3,87
"Bike Nook Bicycle Stand The Easy To Use Upright Design Lets You Store Your Bike Instantly in A Space Saving Handstand Position, Freeing Floor Space in Your Living Room, Bedroom or Garage",https://www.amazon.com/Bike-Nook-Instantly-Handstand-Position/dp/B06XXSHGWR/ref=sr_1_7?ie=UTF8&qid=1547823452&sr=8-7&keywords=Bike,5900,4,155
Exerpeutic Folding Magnetic Upright Bike with Pulse,https://www.amazon.com/Exerpeutic-Folding-Magnetic-Upright-Pulse/dp/B007595TKU/ref=sr_1_8?ie=UTF8&qid=1547823452&sr=8-8&keywords=Bike,14900,4.3,"5,757"
"RoyalBaby BMX Freestyle Kid's Bike, 12-14-16-18-20 inch wheels, six colors available",https://www.amazon.com/Royalbaby-RB14B-6B-Freestyle-training-children/dp/B00HXGSBXC/ref=sr_1_9?ie=UTF8&qid=1547823452&sr=8-9&keywords=Bike,9350,3.9,"1,689"
"Titanker Bike Lock Cable, 4-Feet Bike Cable Basic Self Coiling Resettable Combination Cable Bike Locks with Complimentary Mounting Bracket, 4 Feet x 1/2 Inch",https://www.amazon.com/Coiling-Resettable-Combination-Complimentary-Mounting/dp/B0151RQAX2/ref=sr_1_10?ie=UTF8&qid=1547823452&sr=8-10&keywords=Bike,957,4,"3,121"
"Mongoose Dolomite Fat Tire Mountain Bike, 26-Inch Wheels",https://www.amazon.com/Mongoose-Dolomite-wheel-Mountain-Bicycle/dp/B00J7J40TM/ref=sr_1_13?ie=UTF8&qid=1547823452&sr=8-13&keywords=Bike,23999,4,404
Retrospec Harper Single-Speed Fixed Gear Urban Commuter Bike,https://www.amazon.com/Critical-Cycles-Harper-Single-Speed-Commuter/dp/B078FHCDZ5/ref=sr_1_14?ie=UTF8&qid=1547823452&sr=8-14&keywords=Bike,17515,3.6,198
Bike Race Pro by Top Free Games,https://www.amazon.com/Bike-Race-Top-Free-Games/dp/B008TQ16OG/ref=sr_1_15?ie=UTF8&qid=1547823452&sr=8-15&keywords=Bike,099,4.8,"5,630"
Backpedal,https://www.amazon.com/Backpedal-Ryan-Cockrell/dp/B07BXCGNQL/ref=sr_1_16?ie=UTF8&qid=1547823452&sr=8-16&keywords=Bike,,5,2
sixthreezero EVRYjourney Women's Step-Through Hybrid Cruiser Bicycle (24-Inch and 26-Inch),https://www.amazon.com/sixthreezero-EVRYjourney-7-Speed-Step-Through-Cruiser/dp/B011A4HBTC/ref=sr_1_17?ie=UTF8&qid=1547823452&sr=8-17&keywords=Bike,32000,4.7,"1,260"
