Name,URL,Price,Ratings,# of Reviews
"simplehuman 50 Liter / 13 Gallon Semi-Round Kitchen Step Trash Can, Black Plastic With Secure Slide Lock",https://www.amazon.com/simplehuman-Gallon-Semi-Round-Kitchen-Plastic/dp/B003VWMS5E/ref=sr_1_4?ie=UTF8&qid=1547823428&sr=8-4&keywords=Trash+Can,4998,4.2,"6,928"
AmazonBasics Mesh Wastebasket,https://www.amazon.com/AmazonBasics-DS-018-Mesh-Wastebasket/dp/B01AH488VQ/ref=sr_1_5?ie=UTF8&qid=1547823428&sr=8-5&keywords=Trash+Can,1399,4.7,979
"iTouchless SoftStep 13.2 Gallon Step Trash Can with Odor Filter & Inner Bucket, Stainless Steel Step Pedal Garbage Bin for Office and Kitchen, 50 Liter, Soft and Quiet Lid Close",https://www.amazon.com/iTouchless-SoftStep-Stainless-Garbage-Kitchen/dp/B0733Z42S2/ref=sr_1_6?ie=UTF8&qid=1547823428&sr=8-6&keywords=Trash+Can,7999,3.6,823
"iTouchless 13 Gallon Stainless Steel Automatic Trash Can with Odor-Absorbing Filter, Wide Opening Sensor Kitchen Trash Bin, Powered by Batteries (not included) or Optional AC Adapter (sold separately)",https://www.amazon.com/iTouchless-Stainless-Automatic-Odor-Absorbing-separately/dp/B000EJVYTS/ref=sr_1_7?ie=UTF8&qid=1547823428&sr=8-7&keywords=Trash+Can,7209,4,"5,982"
"Umbra Brim 13 Gallon Trash Can with Lid - Large Kitchen Garbage Can with Stainless Steel Foot Pedal, Stylish and Durable, Silver/Nickel",https://www.amazon.com/Umbra-Brim-Gallon-Trash-Can/dp/B008J135TA/ref=sr_1_9?ie=UTF8&qid=1547823428&sr=8-9&keywords=Trash+Can,3000,3.3,917
"simplehuman 58 Liter/15.3 Gallon Step Can Liner Pocket, Brushed Stainless Steel Dual Compartment Recycler, Rectangular",https://www.amazon.com/simplehuman-Brushed-Stainless-Compartment-Recycler/dp/B00VXULPTQ/ref=sr_1_10?ie=UTF8&qid=1547823428&sr=8-10&keywords=Trash+Can,15999,4.5,"1,771"
BestOffice Trash Can Kitchen Trash Can Bathroom Tall Auto 13 Gallon Stainless Steel Garbage Can Metal Trash Bin with Lid for Kitchen,https://www.amazon.com/BestOffice-Kitchen-Bathroom-Stainless-Garbage/dp/B018LNFQWE/ref=sr_1_13?ie=UTF8&qid=1547823428&sr=8-13&keywords=Trash+Can,4499,4.2,906
"simplehuman Round Step Trash Can, Fingerprint-Proof Brushed Stainless Steel, 4.5-Liter /1.2-Gallon",https://www.amazon.com/simplehuman-Fingerprint-Proof-Stainless-4-5-Liter-1-2-Gallon/dp/B00203PSRA/ref=sr_1_14?ie=UTF8&qid=1547823428&sr=8-14&keywords=Trash+Can,1997,4.2,"2,823"
"simplehuman 30 Liter / 8 Gallon Stainless Steel Round Kitchen Step Trash Can, Brushed Stainless Steel",https://www.amazon.com/simplehuman-Gallon-Stainless-Kitchen-Brushed/dp/B0000E2OAS/ref=sr_1_15?ie=UTF8&qid=1547823428&sr=8-15&keywords=Trash+Can,4997,4.3,409
"NINESTARS DZT-50-9 Automatic Touchless Infrared Motion Sensor Trash Can, 13 Gal 50L, Stainless Steel Base (Oval, Silver/Black Lid)",https://www.amazon.com/NINESTARS-DZT-50-9-Automatic-Touchless-Stainless/dp/B0031M9HJ4/ref=sr_1_16?ie=UTF8&qid=1547823428&sr=8-16&keywords=Trash+Can,5999,3.6,"4,440"
